Date,Headline,Link
2023-01-12,Committee of Nepal Bankers Association has Decided to Decrease Fixed Deposits Interest Rates For the Month of Magh,https://www.sharesansar.com/newsdetail/committee-of-nepal-bankers-association-has-decided-to-decrease-fixed-deposits-interest-rates-for-the-month-of-magh-2023-01-12
2023-01-10,Stock Market Trend Analysis; Which Sector Has Gained the Highest in Last  100 Days?,https://www.sharesansar.com/newsdetail/stock-market-trend-analysis-which-sector-has-gained-the-highest-in-last-100-days-2023-01-10
2023-01-10,"Agricultural Development Bank Announces 13% Dividend for FY 2078/79, 6% Cash Dividend Proposed for Preference Shareholders Too",https://www.sharesansar.com/newsdetail/agricultural-development-bank-announces-13-dividend-for-fy-207879-6-cash-dividend-proposed-for-preference-shareholders-too-2023-01-10
2022-12-13,Commercial Banks Decides to Maintain the Same Deposit Interest Rate During the Month of Poush as Well,https://www.sharesansar.com/newsdetail/commercial-banks-decides-to-maintain-the-same-deposit-interest-rate-during-the-month-of-poush-as-well-2022-12-13
2022-11-28,"Due to Higher Spread Rates, NIC Asia Bank is Most Affected by the First Quarter Monetary Policy; What is the Status of Other BFI's?",https://www.sharesansar.com/newsdetail/due-to-higher-spread-rates-nic-asia-bank-is-most-affected-by-the-first-quarter-monetary-policy-what-is-the-status-of-other-bfis-2022-11-28
2022-11-15,Interest Rates of Commercial banks to Remain Unchanged for the Month of Mangsir,https://www.sharesansar.com/newsdetail/interest-rates-of-commercial-banks-to-remain-unchanged-for-the-month-of-mangsir-2022-11-15
2022-10-31,Profitability Figures of Commercial Banks Painted a Greener Picture in First Quarter; A Summarized Snapshot of the  Important Fundamentals of all 26 Banks Individually,https://www.sharesansar.com/newsdetail/profitability-figures-of-commercial-banks-painted-a-greener-picture-in-first-quarter-a-summarized-snapshot-of-the-important-fundamentals-of-all-26-banks-individually-2022-10-31
2022-10-19,The Base Rate of Banks Have Increased in Recent Month; Check Out the Current Base Rates of 26 Commercial Banks of Nepal,https://www.sharesansar.com/newsdetail/the-base-rate-of-banks-have-increased-in-recent-month-check-out-the-current-base-rates-of-26-commercial-banks-of-nepal-2022-10-19
2022-10-17,Interest Rates of Banks and Financial Institutions Remains Unchanged for Kartik,https://www.sharesansar.com/newsdetail/interest-rates-of-banks-and-financial-institutions-remains-unchanged-for-kartik-2022-10-17
2022-10-13,Committee of Nepal Bankers Association has Determined that Raising Kartik's Interest Rates is not Reasonable,https://www.sharesansar.com/newsdetail/committee-of-nepal-bankers-association-has-determined-that-raising-kartiks-interest-rates-is-not-reasonable-2022-10-13
2022-09-23,Prisoner’s Dilemma: In Present Context With Increment of Interest Rates by Financial Institutions,https://www.sharesansar.com/newsdetail/prisoners-dilemma-in-present-context-with-increment-of-interest-rates-by-financial-institutions-2022-09-23
2022-09-21,Most Banks Alter Their Interest Rates; Individuals Deposit Interest Rates Increased By 3 Digits After the Decimal Point,https://www.sharesansar.com/newsdetail/most-banks-alter-their-interest-rates-individuals-deposit-interest-rates-increased-by-3-digits-after-the-decimal-point-2022-09-21
