S.N.,Name of Company,Symbol,ISIN,ISIN Type
46,Excel Development Bank Limited,EDBL,NPE051A00000,Ordinary Share
47,Excel Development Bank Limited Promoter Share,EDBLPO,NPE051A40006,Promoter Share
48,First Microfinance Laghubitta Bittiya Sanstha Limited,FMDBL,NPE052A00008,Ordinary Share
49,First Microfinance Laghubitta Bittiya Sanstha Limited Promoter Share,FMDBLP,NPE052A40004,Promoter Share
50,Forward Microfinance Laghubitta Bittiya Sanstha Limited,FOWAD,NPE297A00009,Ordinary Share
51,Gandaki Bikas Bank Limited,GDBL,NPE044A00005,Ordinary Share
52,Gandaki Bikas Bank Limited Promoter Share,GDBLPO,NPE044A40001,Promoter Share
53,Garima Bikas Bank Limited,GBBL,NPE053A00006,Ordinary Share
54,Garima Bikash Bank Limited Promoter Share,GBBLPO,NPE053A40002,Promoter Share
55,Gaumukhee Bikas Bank Limited,GABL,NPE225A00000,Ordinary Share
56,Global IME Bank Limited,GBIME,NPE017A00001,Ordinary Share
57,Global IME Bank Limited Promoter Share,GBIMEP,NPE017A40007,Promoter Share
58,Global IME Samunnat Scheme 1,GIMES1,NPE279A35003,Mutual Fund
59,Goodwill Finance Company Limited,GFCL,NPE124A00005,Ordinary Share
60,Goodwill Finance Company Limited Promoter Share,GFCLPO,NPE124A40001,Promoter Share
61,Green Development Bank Limited,GRDBL,NPE285A00004,Ordinary Share
62,Guheswori Merchant Banking & Finance Limited,GMFIL,NPE126A00000,Ordinary Share
63,Guheswori Merchant Banking & Finance Limited Promoter Share,GMFILP,NPE126A40006,Promoter Share
64,Gurans Life Insurance Company Limited,GLICL,NPE202A00009,Ordinary Share
65,Gurans Life Insurance Company Limited Promoter Share,GLICLP,NPE202A40005,Promoter Share
66,Gurkhas Finance Limited,GUFL,NPE133A00006,Ordinary Share
67,Gurkhas Finance Limited Promoter Share,GUFLPO,NPE133A40002,Promoter Share
68,Hamro Bikas Bank Limited,HAMRO,NPE226A00008,Ordinary Share
69,Hamro Bikas Bank Limted Promoter Share,HAMROP,NPE226A40004,Promoter Share
70,Himalayan Bank Limited,HBL,NPE019A00007,Ordinary Share
71,Himalayan Bank Limited Promoter,HBLPO,NPE019A40003,Promoter Share
72,Himalayan Distillery Limited,HDL,NPE179A00009,Ordinary Share
73,Himalayan General Insurance Company Limited,HGI,NPE005A00006,Ordinary Share
